"owner_id","owner_tag","location_count","valid_location_count","analysis_status","approximation_status","approximation_strategy","approximation_accepted","nobles_raw_deviation","nobles_approx_deviation","clergy_raw_deviation","clergy_approx_deviation","burghers_raw_deviation","burghers_approx_deviation","lower_raw_deviation","lower_approx_deviation"
"1601","AXO","3","3","analyzed","feasible","absolute_l2","True","0.21706","0.18693","-0.11909","-0.11056","-0.00419","-0.00270","-0.09378","-0.07367"
"71","AYA","4","4","analyzed","gate_rejected","raw_fallback","False","0.40657","0.40657","-0.52491","-0.52491","-0.00070","-0.00070","0.11904","0.11904"
"18","AYD","9","7","analyzed","feasible","minimax_ratio","True","1.50047","1.48670","-0.61101","-0.60540","0.55431","0.48711","-1.44385","-1.36841"
"1686","AYO","1","1","analyzed","gate_rejected","raw_fallback","False","0.22117","0.22117","-0.13634","-0.13634","0.00000","0.00000","-0.08484","-0.08484"
"154","AZF","3","3","analyzed","feasible","minimax_ratio","True","0.08392","0.07561","-0.07986","-0.06988","0.04897","0.04208","-0.05306","-0.04781"
"1714","AZL","1","1","analyzed","gate_rejected","raw_fallback","False","0.08839","0.08839","-0.04669","-0.04669","0.00000","0.00000","-0.04170","-0.04170"
"1420","BAC","1","1","analyzed","gate_rejected","raw_fallback","False","0.20590","0.20590","-0.05327","-0.05327","0.00000","0.00000","-0.15263","-0.15263"
"1334","BAD","7","7","analyzed","feasible","minimax_ratio","True","-0.26626","-0.26276","0.44372","0.43803","0.02604","0.02571","-0.20359","-0.20098"
"1397","BAI","4","4","analyzed","gate_rejected","raw_fallback","False","0.02188","0.02188","-0.02174","-0.02174","0.00000","0.00000","-0.00014","-0.00014"
"2155","BAM","7","5","analyzed","feasible","improvement_l2","True","0.00033","0.00000","-0.36082","-0.32970","0.50673","0.40428","-0.14628","-0.07458"
"1167","BAR","8","8","analyzed","feasible","target_l2","True","0.41615","0.37891","-0.16741","-0.14541","0.04267","-0.00017","-0.29146","-0.23333"
"2175","BAS","3","3","analyzed","feasible","improvement_l2","True","0.56618","0.53098","-0.07278","-0.06036","0.03387","0.03379","-0.52731","-0.50440"
"1019","BAT","18","12","analyzed","gate_rejected","raw_fallback","False","0.06284","0.06284","-0.03323","-0.03323","0.00000","0.00000","-0.02965","-0.02965"
"964","BAY","1","0","no_valid_locations","","","","","","","","","","",""
"1817","BBG","1","1","analyzed","gate_rejected","raw_fallback","False","0.14075","0.14075","-0.05562","-0.05562","-0.00570","-0.00570","-0.07946","-0.07946"
"2285","BBK","11","8","analyzed","feasible","improvement_l2","True","0.08934","0.05689","-0.19934","-0.16702","-0.00824","0.00061","0.11820","0.10951"
"2162","BCH","3","3","analyzed","gate_rejected","raw_fallback","False","0.08079","0.08079","0.00501","0.00501","0.02122","0.02122","-0.10705","-0.10705"
"2202","BDE","2","2","analyzed","feasible","improvement_l2","True","0.46068","0.45188","-0.16492","-0.16291","-0.00289","0.00012","-0.29290","-0.28909"
"1915","BDS","7","4","analyzed","feasible","minimax_ratio","True","0.29956","0.29661","-0.21065","-0.20817","0.35643","0.35259","-0.44541","-0.44103"
"299","BEA","1","1","analyzed","gate_rejected","raw_fallback","False","-0.00509","-0.00509","-0.01216","-0.01216","0.02703","0.02703","-0.00978","-0.00978"
"1385","BEI","7","4","analyzed","feasible","improvement_l2","True","-0.11931","-0.01004","-0.06472","-0.05019","0.19733","0.05768","-0.01333","0.00255"
"2266","BEN","10","10","analyzed","feasible","minimax_ratio","True","0.44719","0.42101","-0.47437","-0.44659","0.31635","0.28873","-0.28931","-0.26314"
"2135","BES","1","1","analyzed","gate_rejected","raw_fallback","False","0.03515","0.03515","-0.00958","-0.00958","0.00000","0.00000","-0.02557","-0.02557"
"330","BFN","3","3","analyzed","gate_rejected","raw_fallback","False","0.06216","0.06216","-0.02619","-0.02619","0.00000","0.00000","-0.03597","-0.03597"
"19","BFR","2","2","analyzed","gate_rejected","raw_fallback","False","0.57186","0.57186","-0.03256","-0.03256","-0.02472","-0.02472","-0.51459","-0.51459"
"1395","BGG","1","1","analyzed","gate_rejected","raw_fallback","False","0.01355","0.01355","-0.00359","-0.00359","0.00000","0.00000","-0.00995","-0.00995"
"1329","BGK","10","10","analyzed","feasible","target_l2","True","-1.75811","-0.70006","0.46583","0.27498","0.09995","-0.00040","1.19225","0.42547"
"1289","BGL","3","3","analyzed","gate_rejected","raw_fallback","False","-0.36571","-0.36571","0.09718","0.09718","0.00622","0.00622","0.26226","0.26226"
"1563","BGN","1","1","analyzed","gate_rejected","raw_fallback","False","0.16008","0.16008","-0.04097","-0.04097","0.00619","0.00619","-0.12530","-0.12530"
"1291","BGR","3","3","analyzed","feasible","minimax_ratio","True","-0.03626","-0.03525","-0.10478","-0.10187","-0.00883","0.00859","0.14980","0.12854"
"1024","BGT","17","5","analyzed","gate_rejected","raw_fallback","False","-0.00060","-0.00060","0.00874","0.00874","0.00006","0.00006","-0.00823","-0.00823"
"1323","BHA","2","2","analyzed","gate_rejected","raw_fallback","False","0.57672","0.57672","-0.28355","-0.28355","0.02154","0.02154","-0.31473","-0.31473"
"1310","BHD","1","1","analyzed","gate_rejected","raw_fallback","False","0.17400","0.17400","-0.18799","-0.18799","-0.00376","-0.00376","0.01772","0.01772"
