strategy,country_count,candidate_count,gate_passed_count,gate_passed_rate,selected_count,mean_average_improvement_ratio,median_average_improvement_ratio,mean_average_abs_improvement,median_average_abs_improvement,selected_worsening_country_count,selected_max_worsening_percentage,selected_p90_worsening_percentage
balanced_l2,1505,1505,213,0.1415282392026578,49,0.553869778718418,0.5219018061640762,0.43329376455790086,0.08644013077228926,0,0.0,0.0
improvement_l2,1505,1505,302,0.20066445182724252,174,0.5442726269221593,0.5216461438499096,0.43949864555828894,0.08887023916743458,0,0.0,0.0
target_l2,1505,1505,207,0.13754152823920265,62,0.5598688376961797,0.5237267012298723,0.4395224382664618,0.08245865783384934,0,0.0,0.0
absolute_l2,1505,1505,146,0.09700996677740864,21,0.5971310441718821,0.58526349361542,0.6141161452798455,0.1403233323925907,0,0.0,0.0
minimax_ratio,1505,1505,448,0.29767441860465116,143,0.3041603255024655,0.21799186750831356,0.2783630915803305,0.04600934076295474,0,0.0,0.0
