stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1505,609.0708200000003,0.12630999999999992,0.7477039999999997,0.1150637562135292,0.8444192495445596,1505,449,449,0,1056,0.10049,177.1984905533331,177.1984905533331,0,0.04980006001254633,,0.0,0.0,0.1080502288608583,0.0,22,66.95435999999958,0.3827149999999997
clergy,1505,308.32818000000043,0.06555,0.413694,0.4659610610218215,1.6382660194836935,1505,449,449,0,1056,0.052790000000000004,69.48243163468044,69.48243163468044,0,0.024094288125313335,,0.0,0.0,0.05256720478444825,0.0,22,18.232919999999986,0.19959999999999978
burghers,1505,342.2855499999999,0.0037300000000000007,0.3639100000000001,0.1300467373719216,0.6405237885156172,1505,449,449,0,1056,0.00042522132296429066,146.94537192172217,146.94537192172217,0,0.026668293806168974,,0.0,0.0,0.07364332620040584,0.0033472519150046245,22,30.016479999999984,0.18754
lower,1505,603.3028900000012,0.10772000000000001,0.6809040000000002,1.2850574712643676,6.760854409371676,1505,449,449,0,1056,0.08732,159.60359135686477,159.60359135686477,0,0.047621265305852756,,0.0,0.0,0.10814350448297685,0.0,22,51.57591000000001,0.3022199999999998
