owner_id,owner_tag,location_count,valid_location_count,analysis_status,classification_source,raw_total,target_total,raw_total_error,raw_total_error_percentage,exact_status,exact_feasible,approx_status,approx_exact,approx_accepted,approx_gate_passed,approx_gate_enforced,approx_strategy,approx_average_improvement_ratio,approx_average_abs_improvement,approx_active_classes,approx_total_error,approx_total_error_percentage,candidate_balanced_l2_status,candidate_balanced_l2_gate_passed,candidate_balanced_l2_average_improvement_ratio,candidate_balanced_l2_average_abs_improvement,candidate_improvement_l2_status,candidate_improvement_l2_gate_passed,candidate_improvement_l2_average_improvement_ratio,candidate_improvement_l2_average_abs_improvement,candidate_target_l2_status,candidate_target_l2_gate_passed,candidate_target_l2_average_improvement_ratio,candidate_target_l2_average_abs_improvement,candidate_absolute_l2_status,candidate_absolute_l2_gate_passed,candidate_absolute_l2_average_improvement_ratio,candidate_absolute_l2_average_abs_improvement,candidate_minimax_ratio_status,candidate_minimax_ratio_gate_passed,candidate_minimax_ratio_average_improvement_ratio,candidate_minimax_ratio_average_abs_improvement,class_1_count,class_1_capacity,class_1_target_capacity,exact_factor_1,approx_factor_1,class_2_count,class_2_capacity,class_2_target_capacity,exact_factor_2,approx_factor_2,class_3_count,class_3_capacity,class_3_target_capacity,exact_factor_3,approx_factor_3,class_4_count,class_4_capacity,class_4_target_capacity,exact_factor_4,approx_factor_4,approx_improved_strata,approx_worsened_strata,approx_unchanged_strata,approx_all_strata_improved,approx_pareto_improves_raw,approx_max_worsening_percentage,approx_worsening_strata
178,ACO,1,1,analyzed,saved,0.34828,0.34829,-1.0000000000010001e-05,0.0028711705762468065,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,-1.0000000000010001e-05,0.0028711705762468065,feasible,False,0.0003029358169321671,4.137254901961061e-06,feasible,False,0.0003029358169321671,4.137254901961061e-06,feasible,False,0.00030293581693195253,4.137254901949786e-06,feasible,False,0.0003029358169321671,4.137254901961061e-06,feasible,False,0.0003029358169321671,4.137254901961061e-06,1,0.34829,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
871,ADG,1,0,no_valid_locations,saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,ADH,1,1,analyzed,saved,1.76445,1.76449,-3.999999999981796e-05,0.002266943989471063,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,-3.999999999981796e-05,0.002266943989471063,feasible,False,-1.8671696528119657e-05,-3.4507203904993178e-06,feasible,False,-1.8671696528119657e-05,-3.4507203904993178e-06,feasible,False,-1.8671696528411745e-05,-3.450720390561768e-06,feasible,False,-1.8671696528411745e-05,-3.450720390561768e-06,feasible,False,-1.8671696528119657e-05,-3.4507203904993178e-06,1,1.76447,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
2275,ADO,1,1,analyzed,saved,0.29446,0.29445,1.0000000000010001e-05,0.0033961623365630837,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,1.0000000000010001e-05,0.0033961623365630837,feasible,False,0.0002581766034585775,5.106768572173733e-06,feasible,False,0.0002581766034586861,5.106768572175468e-06,feasible,False,0.0002581766034586861,5.106768572175468e-06,feasible,False,0.0002581766034586861,5.106768572175468e-06,feasible,False,0.0002581766034586861,5.106768572175468e-06,1,0.29446,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
1218,AFA,9,9,analyzed,saved,7.79421,7.79426,-5.000000000077165e-05,0.0006414977175610211,singular,False,gate_rejected,False,False,False,True,raw_fallback,,,,-5.000000000077165e-05,0.0006414977175610211,feasible,False,0.7499999999999923,0.06920249999999986,feasible,False,0.7499999999999372,0.06920249999999284,feasible,False,0.7499999999999918,0.06920249999999978,feasible,False,0.7499999999996553,0.06920249999998966,feasible,False,0.7499999999999999,0.06920250000000018,2,2.05071,,,1.0,1,1.10543,,,1.0,1,0.31563,,,1.0,5,4.3225,,,1.0,0,0,4,False,False,0.0,0
2151,AGC,1,1,analyzed,saved,9.523689999999998,9.52372,-3.0000000002416982e-05,0.00031500296105321215,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,-3.0000000002416982e-05,0.00031500296105321215,feasible,False,3.901774976350949e-06,1.4589369370376915e-06,feasible,False,3.901774976350949e-06,1.4589369370376915e-06,feasible,False,3.901774976350949e-06,1.4589369370376915e-06,feasible,False,3.901774976350949e-06,1.4589369370376915e-06,feasible,False,3.901774976350949e-06,1.4589369370376915e-06,1,9.5237,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
555,AGH,1,1,analyzed,saved,0.22712000000000002,0.22712000000000002,0.0,0.0,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,0.0,0.0,feasible,False,-0.006951019396351991,-3.613413715144141e-06,feasible,False,-0.006951019396351991,-3.613413715144141e-06,feasible,False,-0.006951019396351991,-3.613413715144141e-06,feasible,False,-0.006951019396351991,-3.613413715144141e-06,feasible,False,-0.006951019396351991,-3.613413715144141e-06,1,0.22713,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
796,AGN,1,1,analyzed,saved,0.52764,0.52765,-9.99999999995449e-06,0.0018951956789452272,missing_class,False,gate_rejected,False,False,False,True,raw_fallback,,,,-9.99999999995449e-06,0.0018951956789452272,feasible,False,-3.079221457961831e-06,-1.620879120881047e-06,feasible,False,-3.079221457961831e-06,-1.620879120881047e-06,feasible,False,-3.079221457906169e-06,-1.6208791208532913e-06,feasible,False,-3.079221457961831e-06,-1.620879120881047e-06,feasible,False,-3.079221457961831e-06,-1.620879120881047e-06,1,0.52764,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0.0,,,1.0,0,0,4,False,False,0.0,0
15,AHI,6,6,analyzed,saved,5.39457,5.3946499999999995,-7.999999999963592e-05,0.0014829507011508796,missing_class,False,feasible,False,True,True,True,minimax_ratio,0.006034247942517702,0.003367950594917221,3/4,-8.881784197001252e-16,1.646406012809219e-14,feasible,False,0.09477595590561305,0.04125006206376168,feasible,False,0.05614486166993384,0.024759198279530423,feasible,False,0.003311506340919668,0.0022056650899380803,feasible,False,0.030830792869069156,0.01395311399227342,feasible,True,0.006034247942517702,0.003367950594917221,2,0.17374,,,0.0,0,0.0,,,0.0,1,3.90486,,,1.0036592815662004,3,1.31604,,,1.121138901409138,4,0,0,True,True,0.0,0
250,AHO,10,10,analyzed,saved,8.21025,8.21031,-5.9999999999504894e-05,0.0007307884842290351,negative_factor,False,feasible,False,True,True,True,improvement_l2,0.28895390173422664,0.019080095900562644,2/3,0.0,0.0,feasible,False,0.05139786905657481,0.021328363872196828,feasible,True,0.28895390173422664,0.019080095900562644,feasible,True,0.07776141759087708,0.02107885506738881,feasible,False,-3.6569722553192543,0.05642496690779217,feasible,True,0.06847103193804768,0.021166780750740667,5,3.0098300000000004,,-15.949284905401756,0.0,1,2.11746,,26.871153835732855,2.352812935425958,2,1.46858,,23.553472606463878,2.198227820574943,2,1.61448,,-21.848198807663174,0.0,4,0,0,True,True,0.0,0
