stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1,7.827719999999999,7.827719999999999,7.827719999999999,0.045908913761994116,0.045908913761994116,1,1,1,0,0,0.0,7.827719999999999,7.827719999999999,0,7.827719999999999,,7.827719999999999,7.827719999999999,7.827719999999999,1.0,1,7.827719999999999,7.827719999999999
clergy,1,3.0681699999999985,3.0681699999999985,3.0681699999999985,0.1368529229281512,0.1368529229281512,1,1,1,0,0,0.0,3.0681699999999985,3.0681699999999985,0,3.0681699999999985,,3.0681699999999985,3.0681699999999985,3.0681699999999985,1.0,1,3.068169999999995,3.068169999999995
burghers,1,2.597430000000001,2.597430000000001,2.597430000000001,0.2007371250423125,0.2007371250423125,1,1,1,0,0,1.7763568394002505e-15,2.5974299999999992,2.5974299999999992,0,2.5974299999999992,,2.5974299999999992,2.5974299999999992,2.5974299999999992,0.9999999999999993,1,2.5974299999999992,2.5974299999999992
lower,1,8.296689999999998,8.296689999999998,8.296689999999998,0.2889520889993149,0.2889520889993149,1,1,1,0,0,3.552713678800501e-15,8.296689999999995,8.296689999999995,0,8.296689999999995,,8.296689999999995,8.296689999999995,8.296689999999995,0.9999999999999996,1,8.296689999999998,8.296689999999998
