stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1,8.136320000000012,8.136320000000012,8.136320000000012,0.04427549747436621,0.04427549747436621,1,1,1,0,0,2.842170943040401e-14,8.136319999999984,8.136319999999984,0,8.136319999999984,,8.136319999999984,8.136319999999984,8.136319999999984,0.9999999999999966,1,8.136320000000012,8.136320000000012
clergy,1,3.369389999999999,3.369389999999999,3.369389999999999,0.1397267329458981,0.1397267329458981,1,1,1,0,0,2.1316282072803006e-14,3.369389999999978,3.369389999999978,0,3.369389999999978,,3.369389999999978,3.369389999999978,3.369389999999978,0.9999999999999937,1,3.3693899999999957,3.3693899999999957
burghers,1,2.55058,2.55058,2.55058,0.18907428781533941,0.18907428781533941,1,1,1,0,0,3.552713678800501e-15,2.5505799999999965,2.5505799999999965,0,2.5505799999999965,,2.5505799999999965,2.5505799999999965,2.5505799999999965,0.9999999999999986,1,2.5505799999999983,2.5505799999999983
lower,1,8.95335,8.95335,8.95335,0.2902761454728191,0.2902761454728191,1,1,1,0,0,1.7763568394002505e-14,8.953349999999983,8.953349999999983,0,8.953349999999983,,8.953349999999983,8.953349999999983,8.953349999999983,0.999999999999998,1,8.953349999999997,8.953349999999997
