strategy,country_count,candidate_count,gate_passed_count,gate_passed_rate,selected_count,mean_average_improvement_ratio,median_average_improvement_ratio,mean_average_abs_improvement,median_average_abs_improvement,selected_worsening_country_count,selected_max_worsening_percentage,selected_p90_worsening_percentage
balanced_l2,1,1,1,1.0,1,0.9999999999999978,0.9999999999999978,5.538419999999981,5.538419999999981,0,0.0,0.0
improvement_l2,1,1,1,1.0,0,0.9999999999999639,0.9999999999999639,5.538419999999752,5.538419999999752,0,,
target_l2,1,1,1,1.0,0,0.9999999999999978,0.9999999999999978,5.5384199999999835,5.5384199999999835,0,,
absolute_l2,1,1,1,1.0,0,0.9999999999999909,0.9999999999999909,5.53841999999997,5.53841999999997,0,,
minimax_ratio,1,1,1,1.0,0,0.9999999999999994,0.9999999999999994,5.538419999999995,5.538419999999995,0,,
