stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1,8.248729999999995,8.248729999999995,8.248729999999995,0.048013925600135475,0.048013925600135475,1,1,1,0,0,2.842170943040401e-14,8.248729999999966,8.248729999999966,0,8.248729999999966,,8.248729999999966,8.248729999999966,8.248729999999966,0.9999999999999966,1,8.248729999999966,8.248729999999966
clergy,1,2.828949999999999,2.828949999999999,2.828949999999999,0.124877944990933,0.124877944990933,1,1,1,0,0,0.0,2.828949999999999,2.828949999999999,0,2.828949999999999,,2.828949999999999,2.828949999999999,2.828949999999999,1.0,1,2.8289499999999954,2.8289499999999954
burghers,1,2.606449999999999,2.606449999999999,2.606449999999999,0.19594407161023025,0.19594407161023025,1,1,1,0,0,3.552713678800501e-15,2.6064499999999953,2.6064499999999953,0,2.6064499999999953,,2.6064499999999953,2.6064499999999953,2.6064499999999953,0.9999999999999987,1,2.606449999999999,2.606449999999999
lower,1,8.469549999999998,8.469549999999998,8.469549999999998,0.29264398365252914,0.29264398365252914,1,1,1,0,0,3.552713678800501e-14,8.469549999999963,8.469549999999963,0,8.469549999999963,,8.469549999999963,8.469549999999963,8.469549999999963,0.9999999999999958,1,8.469549999999998,8.469549999999998
