strategy,country_count,candidate_count,gate_passed_count,gate_passed_rate,selected_count,mean_average_improvement_ratio,median_average_improvement_ratio,mean_average_abs_improvement,median_average_abs_improvement,selected_worsening_country_count,selected_max_worsening_percentage,selected_p90_worsening_percentage
balanced_l2,1505,1505,213,0.1415282392026578,48,0.5535908143641687,0.5206594725658077,0.43330256642442483,0.08644013077228926,0,0.0,0.0
improvement_l2,1505,1505,302,0.20066445182724252,175,0.5429842373593411,0.5206105760317589,0.4391300827647441,0.08863615466486569,0,0.0,0.0
target_l2,1505,1505,207,0.13754152823920265,62,0.5595847204067735,0.5237267012298723,0.4395317276871338,0.08245865783384934,0,0.0,0.0
absolute_l2,1505,1505,146,0.09700996677740864,21,0.5950129958109486,0.58526349361542,0.613367407519066,0.13884007442544466,0,0.0,0.0
minimax_ratio,1505,1505,448,0.29767441860465116,143,0.3031318916792735,0.2171725884832762,0.2781657957764244,0.044814834368660905,0,0.0,0.0
