stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1,8.713950000000011,8.713950000000011,8.713950000000011,0.052275462432629934,0.052275462432629934,1,1,1,0,0,2.842170943040401e-14,8.713949999999983,8.713949999999983,0,8.713949999999983,,8.713949999999983,8.713949999999983,8.713949999999983,0.9999999999999968,1,8.713949999999954,8.713949999999954
clergy,1,2.699270000000002,2.699270000000002,2.699270000000002,0.12286112619474941,0.12286112619474941,1,1,1,0,0,1.0658141036401503e-14,2.6992699999999914,2.6992699999999914,0,2.6992699999999914,,2.6992699999999914,2.6992699999999914,2.6992699999999914,0.999999999999996,1,2.699270000000002,2.699270000000002
burghers,1,2.5044299999999993,2.5044299999999993,2.5044299999999993,0.19865250426545691,0.19865250426545691,1,1,1,0,0,1.7763568394002505e-15,2.5044299999999975,2.5044299999999975,0,2.5044299999999975,,2.5044299999999975,2.5044299999999975,2.5044299999999975,0.9999999999999993,1,2.5044299999999975,2.5044299999999975
lower,1,8.90708,8.90708,8.90708,0.31119698134302287,0.31119698134302287,1,1,1,0,0,1.7763568394002505e-14,8.907079999999983,8.907079999999983,0,8.907079999999983,,8.907079999999983,8.907079999999983,8.907079999999983,0.999999999999998,1,8.90708,8.90708
