strategy,country_count,candidate_count,gate_passed_count,gate_passed_rate,selected_count,mean_average_improvement_ratio,median_average_improvement_ratio,mean_average_abs_improvement,median_average_abs_improvement,selected_worsening_country_count,selected_max_worsening_percentage,selected_p90_worsening_percentage
balanced_l2,1,1,1,1.0,1,0.9999999999999976,0.9999999999999976,5.706182499999988,5.706182499999988,0,0.0,0.0
improvement_l2,1,1,1,1.0,0,0.9999999999999896,0.9999999999999896,5.706182499999919,5.706182499999919,0,,
target_l2,1,1,1,1.0,0,0.9999999999999976,0.9999999999999976,5.70618249999999,5.70618249999999,0,,
absolute_l2,1,1,1,1.0,0,0.9999999999999704,0.9999999999999704,5.706182499999871,5.706182499999871,0,,
minimax_ratio,1,1,1,1.0,0,0.9999999999999996,0.9999999999999996,5.7061825000000015,5.7061825000000015,0,,
