strategy,country_count,candidate_count,gate_passed_count,gate_passed_rate,selected_count,mean_average_improvement_ratio,median_average_improvement_ratio,mean_average_abs_improvement,median_average_abs_improvement,selected_worsening_country_count,selected_max_worsening_percentage,selected_p90_worsening_percentage
balanced_l2,1,1,1,1.0,0,0.5026658975768016,0.5026658975768016,2.6370466474543033,2.6370466474543033,0,,
improvement_l2,1,1,1,1.0,1,0.5474258517107738,0.5474258517107738,2.4475438493432353,2.4475438493432353,0,0.0,0.0
target_l2,1,1,0,0.0,0,,,,,0,,
absolute_l2,1,1,0,0.0,0,,,,,0,,
minimax_ratio,1,1,1,1.0,0,0.36284038108452654,0.36284038108452654,2.009650356332596,2.009650356332596,0,,
