stratum,country_count,raw_abs_error_total,raw_abs_error_median,raw_abs_error_p90,raw_abs_relative_error_median,raw_abs_relative_error_p90,approx_evaluated_count,approx_candidate_count,approx_improved_count,approx_worsened_count,approx_unchanged_count,approx_abs_error_median,approx_abs_improvement_total,approx_positive_improvement_total,approx_worsening_total,approx_positive_improvement_median,approx_worsening_median,approx_abs_improvement_median,approx_abs_improvement_p10,approx_abs_improvement_p90,approx_improvement_ratio_median,exact_feasible_count,exact_abs_improvement_total,exact_abs_improvement_median
nobles,1,8.248729999999995,8.248729999999995,8.248729999999995,0.048013925600135475,0.048013925600135475,1,1,1,0,0,4.783273750806586,3.4654562491934087,3.4654562491934087,0,3.4654562491934087,,3.4654562491934087,3.4654562491934087,3.4654562491934087,0.4201199759470138,0,0,
clergy,1,2.828949999999999,2.828949999999999,2.828949999999999,0.124877944990933,0.124877944990933,1,1,1,0,0,1.1932972895251588,1.6356527104748402,1.6356527104748402,0,1.6356527104748402,,1.6356527104748402,1.6356527104748402,1.6356527104748402,0.5781836760900124,0,0,
burghers,1,2.606449999999999,2.606449999999999,2.606449999999999,0.19594407161023025,0.19594407161023025,1,1,1,0,0,0.2051812609817958,2.401268739018203,2.401268739018203,0,2.401268739018203,,2.401268739018203,2.401268739018203,2.401268739018203,0.9212794179892974,0,0,
lower,1,8.469549999999998,8.469549999999998,8.469549999999998,0.29264398365252914,0.29264398365252914,1,1,1,0,0,6.181752301313509,2.2877976986864894,2.2877976986864894,0,2.2877976986864894,,2.2877976986864894,2.2877976986864894,2.2877976986864894,0.27012033681677183,0,0,
