"stratum","country_count","runtime_accepted_count","raw_abs_error_total","runtime_abs_error_total","abs_reduction","reduction_percentage","raw_abs_error_median","runtime_abs_error_median","accepted_reduction_percentage","improved_count","worsened_count"
"nobles","1564","221","609.07082","442.55716","166.51366","27.33897","0.11603","0.10010","52.45138","221","0"
"clergy","1564","221","308.32818","244.02201","64.30617","20.85640","0.06061","0.05078","41.54984","221","0"
"burghers","1564","221","342.28555","207.52864","134.75691","39.36973","0.00283","0.00103","54.62370","220","1"
"lower","1564","221","603.30289","455.85476","147.44813","24.44015","0.09702","0.08396","45.09503","221","0"
